Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-04-08 01:27:54;2020-04-08 08:39:54;86%;95%;;0;936;Normal;101.8;;32.4;25920.6;20822.9;1555.2;2020-04-08 06:00:00;2020-04-08 06:00:00;true;0.0;32.0;No weather;
2020-04-09 01:16:41;2020-04-09 09:00:52;89%;96%;;0;948;Normal;101.6;;40.5;27851.0;26272.8;1578.2;2020-04-09 06:00:00;2020-04-09 06:00:00;true;0.0;32.0;No weather;
2020-04-10 02:08:55;2020-04-10 09:00:50;81%;95%;;0;868;Normal;101.1;;34.0;24715.2;24220.9;494.3;2020-04-10 06:00:00;2020-04-10 06:00:00;true;0.0;32.0;No weather;
2020-04-11 01:40:22;2020-04-11 09:00:40;85%;95%;;0;795;Normal;101.0;;38.9;26418.8;25274.0;1144.8;2020-04-11 06:00:00;2020-04-11 06:00:00;true;0.0;32.0;No weather;
2020-04-12 00:26:53;2020-04-12 09:03:11;99%;93%;;0;1478;Normal;101.6;;39.2;30978.9;28294.0;619.6;2020-04-12 06:00:00;2020-04-12 06:00:00;true;0.0;32.0;No weather;
2020-04-13 01:38:07;2020-04-13 08:56:28;85%;92%;;0;353;Normal;101.8;;35.8;26301.1;24284.6;1052.0;2020-04-13 06:00:00;2020-04-13 06:00:00;true;0.0;32.0;No weather;
2020-04-14 01:24:52;2020-04-14 08:48:16;77%;92%;;0;918;Normal;102.1;;56.3;26604.3;22524.9;532.1;2020-04-14 06:00:00;2020-04-14 06:00:00;true;0.0;32.0;No weather;
2020-04-15 01:11:22;2020-04-15 09:05:50;82%;94%;;0;538;Normal;101.7;;57.3;28467.3;22394.2;2182.5;2020-04-15 06:00:00;2020-04-15 06:00:00;true;0.0;32.0;No weather;
2020-04-16 02:54:41;2020-04-16 09:00:44;68%;93%;;0;641;Normal;101.6;;45.1;21962.6;19619.9;439.3;2020-04-16 06:00:00;2020-04-16 06:00:00;true;0.0;32.0;No weather;
2020-04-17 01:43:46;2020-04-17 09:00:43;82%;90%;;0;1007;Normal;101.2;;43.8;26216.2;24118.9;2097.3;2020-04-17 06:00:00;2020-04-17 06:00:00;true;0.0;32.0;No weather;
2020-04-18 01:18:23;2020-04-18 09:00:40;84%;91%;;0;298;Normal;100.2;;49.1;27736.9;23206.5;554.7;2020-04-18 06:00:00;2020-04-18 06:00:00;true;0.0;32.0;No weather;
2020-04-19 01:36:31;2020-04-19 08:54:17;71%;94%;;0;426;Normal;101.0;;66.1;26266.3;22151.2;525.3;2020-04-19 10:30:00;2020-04-19 10:30:00;true;0.0;32.0;No weather;
2020-04-20 01:51:14;2020-04-20 09:00:34;74%;97%;;0;837;Normal;101.1;;56.5;25759.8;21638.2;515.2;2020-04-20 06:00:00;2020-04-20 06:00:00;true;0.0;32.0;No weather;
2020-04-21 01:53:03;2020-04-21 09:01:25;80%;98%;;0;740;Normal;101.3;;43.3;25702.2;23988.7;1713.5;2020-04-21 06:00:00;2020-04-21 06:00:00;true;0.0;32.0;No weather;
2020-04-22 01:43:11;2020-04-22 09:00:34;79%;98%;;0;570;Normal;101.8;;49.9;26243.6;23094.4;524.9;2020-04-22 06:00:00;2020-04-22 06:00:00;true;0.0;32.0;No weather;
2020-04-23 01:08:22;2020-04-23 09:00:34;89%;98%;;0;913;Normal;101.1;;41.6;28332.7;20399.6;944.4;2020-04-23 06:00:00;2020-04-23 06:00:00;true;0.0;32.0;No weather;
2020-04-24 01:23:13;2020-04-24 09:01:05;85%;97%;;0;645;Normal;101.8;;44.1;27472.3;24816.6;2014.6;2020-04-24 06:00:00;2020-04-24 06:00:00;true;0.0;32.0;No weather;
2020-04-25 01:14:40;2020-04-25 09:01:44;84%;97%;;0;928;Normal;101.3;;49.4;28024.2;20737.9;1588.0;2020-04-25 06:00:00;2020-04-25 06:00:00;true;0.0;32.0;No weather;
2020-04-26 02:06:39;2020-04-26 09:00:34;74%;96%;;0;686;Normal;101.3;;51.7;24835.8;23097.3;1241.8;2020-04-26 06:00:00;2020-04-26 06:00:00;true;0.0;32.0;No weather;
